ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Pickup_Delay,Distance_km,Road_traffic_density_encoded
0x4607,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,1900-01-01 11:33:33,1900-01-01 11:45:29,Sunny,High,2,Snack,motorcycle,0,1,3,24,11.933333333333334,-1.1924169219688185,2.0
0xb379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,1900-01-01 19:45:37,1900-01-01 19:51:49,Stormy,Jam,2,Snack,scooter,1,1,0,33,6.2,1.8686739052785288,3.0
0x5d6d,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,1900-01-01 08:32:58,1900-01-01 08:48:47,Sandstorms,Low,0,Drinks,motorcycle,1,1,3,26,15.816666666666666,-1.4553964431225046,0.0
0x7a6a,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,1900-01-01 18:03:58,1900-01-01 18:12:52,Sunny,Medium,0,Buffet,motorcycle,1,1,0,21,8.9,-0.3425839001515406,1.0
0x70a2,CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,1900-01-01 13:34:16,1900-01-01 13:45:36,Cloudy,High,1,Snack,scooter,1,1,0,30,11.333333333333334,-0.624433561626292,2.0
0x9bb4,HYDRES09DEL03,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,1900-01-01 21:23:28,1900-01-01 21:30:20,Cloudy,Jam,0,Buffet,motorcycle,1,1,3,26,6.866666666666666,-0.9096966490924534,3.0
0x95b4,RANCHIRES15DEL01,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,1900-01-01 19:19:19,1900-01-01 19:34:16,Fog,Jam,1,Meal,scooter,1,1,0,40,14.95,1.231025598170905,3.0
0x9eb2,MYSRES15DEL02,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,1900-01-01 17:29:18,1900-01-01 17:31:55,Cloudy,Medium,2,Meal,motorcycle,1,1,0,32,2.6166666666666667,1.8724728902974386,1.0
0x1102,HYDRES05DEL02,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,1900-01-01 20:56:37,1900-01-01 21:06:20,Stormy,Jam,0,Buffet,motorcycle,1,1,0,34,9.716666666666667,1.8322909367869462,3.0
0xcdcd,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,1900-01-01 21:59:01,1900-01-01 22:10:28,Fog,Jam,2,Snack,motorcycle,3,1,0,46,11.45,0.10380072255236913,3.0
0xd987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,1900-01-01 14:58:54,1900-01-01 15:08:51,Stormy,High,1,Meal,motorcycle,1,1,0,23,9.95,-0.6188061887568436,2.0
0x2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,1900-01-01 17:34:29,1900-01-01 17:44:14,Sandstorms,Medium,1,Drinks,scooter,1,1,0,21,9.75,0.7282185321587913,1.0
0xc8b6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,1900-01-01 09:25:55,1900-01-01 09:30:40,Sandstorms,Low,0,Buffet,motorcycle,0,1,0,20,4.75,-1.2090322136884215,0.0
0xdb64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,1900-01-01 19:53:44,1900-01-01 20:06:45,Fog,Jam,1,Snack,scooter,1,1,0,41,13.016666666666667,1.7309752654107986,3.0
0x3af3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,1900-01-01 20:29:25,1900-01-01 20:36:48,Sandstorms,Jam,2,Buffet,electric_scooter,1,1,0,20,7.383333333333334,0.7240400001975029,3.0
0x3aab,MYSRES01DEL01,35,4,12.311072,76.654878,12.351072,76.694878,2022-03-01,1900-01-01 14:57:02,1900-01-01 15:10:45,Windy,High,1,Meal,scooter,1,1,0,33,13.716666666666667,-0.6230584517395088,2.0
0x689b,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,1900-01-01 20:33:08,1900-01-01 20:41:10,Sandstorms,Jam,2,Snack,motorcycle,1,1,0,40,8.033333333333333,1.2747001463607524,3.0
0x6f67,HYDRES14DEL01,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,1900-01-01 20:43:56,1900-01-01 20:52:28,Cloudy,Jam,0,Snack,motorcycle,NaN,1,0,41,8.533333333333333,0.1872176378992767,3.0
0xc9cf,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,1900-01-01 21:16:54,1900-01-01 21:31:34,Windy,Jam,0,Meal,motorcycle,1,1,3,15,14.666666666666666,-0.9219084301965833,3.0
