ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x4607 ,INDORES13DEL02 ,37,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,11:33:33,11:45:29,conditions Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,24
0xb379 ,BANGRES18DEL02 ,34,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,19:45:37,19:51:49,conditions Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,33
0x5d6d ,BANGRES19DEL01 ,23,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,8:32:58,8:48:47,conditions Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,26
0x7a6a ,COIMBRES13DEL02 ,38,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,18:03:58,18:12:52,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,21
0x70a2 ,CHENRES12DEL01 ,32,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,13:34:16,13:45:36,conditions Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,30
0x9bb4 ,HYDRES09DEL03 ,22,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,21:23:28,21:30:20,conditions Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,26
0x95b4 ,RANCHIRES15DEL01 ,33,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,19:19:19,19:34:16,conditions Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,40
0x9eb2 ,MYSRES15DEL02 ,35,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,17:29:18,17:31:55,conditions Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,32
0x1102 ,HYDRES05DEL02 ,22,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,20:56:37,21:06:20,conditions Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,34
0xcdcd ,DEHRES17DEL01 ,36,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:59:01,22:10:28,conditions Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,46
0xd987 ,KOCRES16DEL01 ,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:58:54,15:08:51,conditions Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,23
0x2784 ,PUNERES13DEL03 ,23,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:34:29,17:44:14,conditions Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,21
0xc8b6 ,LUDHRES15DEL02 ,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,9:25:55,9:30:40,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,20
0xdb64 ,KNPRES14DEL02 ,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:53:44,20:06:45,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,41
0x3af3 ,MUMRES15DEL03 ,29,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:29:25,20:36:48,conditions Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,20
0x3aab ,MYSRES01DEL01 ,35,4,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:57:02,15:10:45,conditions Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,33
0x689b ,PUNERES20DEL01 ,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:33:08,20:41:10,conditions Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,40
0x6f67 ,HYDRES14DEL01 ,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:43:56,20:52:28,conditions Cloudy,Jam ,0,Snack ,motorcycle ,NaN ,No ,Metropolitian ,41
0xc9cf ,KOLRES15DEL03 ,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:16:54,21:31:34,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,15
0x36b8 ,PUNERES19DEL02 ,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:24:12,20:29:38,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,36
0x5795 ,RANCHIRES06DEL02 ,31,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:35:33,22:45:19,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,26
0x6c6b ,COIMBRES13DEL01 ,37,5,11.003669,76.976494,11.013669,76.986494,11-03-2022,8:20:06,8:33:37,conditions Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,20
